用户名,评论内容,评论时间,点赞数,评论数,ip地址
钟棋煜,好 好 睡 觉 大家,2025年03月07日 21:01,14489,296,四川
系细猪,人家在酒店嘴都亲烂了 你却凌晨四点海棠花未眠.,2025年04月05日 20:55,12552,111,广东
Camellia_山茶__,凌晨四点我妈看见我还未眠🙄💅,2025年05月08日 21:09,11680,85,新疆
你好张纯洁,"凌晨四点 我看见海棠花未眠
凌晨七点 老板我今天不舒服请假一天",2025年03月08日 00:30,10609,45,四川
全能选手Hz,5月听的一辈子幸福 接不接,2025年05月07日 22:40,10285,1728,河南
死了就会好了吧,"17岁的喻繁哭着说:为什么我好像从来没顺过
25岁的喻繁感慨:人到底能有多幸福",2025年05月01日 23:12,9302,832,湖北
言澈koi,我真以为是薛哥的新歌,2025年03月11日 17:54,7581,184,湖南
美人如霞,“凌晨四点 我看见海棠花未眠 总觉得这时 你应该在我身边。”,2025年03月10日 23:14,6229,33,广东
为你写月,《杀死一只知更鸟》中有这样一段话：“你永远不可能真正的了解一个人，除非你穿上她的鞋子走来走去，站在她的角度思考问题，可当你走过她的路时，你连路过都觉得难过。,2025年03月14日 03:38,6150,18,重庆
Lu_v-,声音真的很像老薛[流泪],2025年05月05日 08:49,6020,169,广东
这里在下大雪,老天爷，碰到真爱的时候，能不能放个背景音乐提醒一下啊。,2025年04月10日 23:03,5287,55,广东
雾思期,再过几个小时我就要起床结婚啦,2025年04月12日 19:42,4404,583,山东
A_兮缘,“我装病不去上学 父母却装健康去上班”,2025年04月17日 18:08,3418,20,重庆
k诩声,“喻繁，我愿意永远忠诚并热烈的爱你。”,2025年04月19日 17:06,2837,82,河南
108个情绪-,我遇见了一个男孩 他很悲观 我想让他快乐 所以我出现了 没想到悲观是他演的 还顺手带走了我的明媚,2025年03月12日 00:04,2331,66,辽宁
