品名,最低价,平均价,最高价,产地,单位
大白菜,0.4,0.5,0.6,冀,斤
娃娃菜,0.9,1.0,1.1,冀,斤
小白菜,0.8,1.0,1.2,冀鲁,斤
圆白菜,0.4,0.55,0.7,冀,斤
紫甘蓝,0.8,0.85,0.9,冀,斤
芹菜,0.7,0.8,0.9,京冀,斤
西芹,1.2,1.25,1.3,辽,斤
菠菜,3.0,3.25,3.5,冀,斤
莴笋,0.8,1.05,1.3,冀,斤
团生菜,1.0,1.25,1.5,冀,斤
罗马生菜,1.25,1.28,1.3,京,斤
散叶生菜,1.0,1.1,1.2,冀京,斤
油菜,0.8,0.9,1.0,京,斤
香菜,2.5,2.75,3.0,冀蒙,斤
茴香,1.0,1.25,1.5,冀,斤
韭菜,1.0,1.1,1.2,冀,斤
苦菊,1.3,1.35,1.4,辽冀,斤
油麦菜,1.3,1.4,1.5,京冀,斤
散菜花,1.0,1.5,2.0,冀,斤
绿菜花,1.0,1.4,1.8,津冀,斤
绿豆芽,0.95,0.98,1.0,未知,斤
黄豆芽,0.85,0.88,0.9,未知,斤
番茄,1.1,1.3,1.5,冀蒙,斤
番茄,1.6,1.85,2.1,冀蒙,斤
番茄,2.0,2.15,2.3,蒙,斤
黄瓜,1.0,1.25,1.5,辽冀鲁蒙,斤
黄瓜,1.2,1.4,1.6,冀辽鲁,斤
小黄瓜,3.2,3.5,3.8,辽鲁,斤
小黄瓜,4.0,4.2,4.4,辽鲁,斤
茄子,0.7,0.95,1.2,冀鲁,斤
长茄,0.7,0.95,1.2,辽冀,斤
线茄,1.0,1.75,2.5,冀,斤
广茄,1.4,1.95,2.5,冀,斤
冬瓜,0.9,1.0,1.1,琼桂,斤
冬瓜,0.6,0.65,0.7,桂,斤
毛冬瓜,0.75,0.8,0.85,鲁冀,斤
架豆,2.5,3.25,4.0,鲁,斤
豆王,3.5,4.5,5.5,鲁辽,斤
扁豆,3.0,3.75,4.5,鲁,斤
豇豆,2.0,2.5,3.0,鲁冀,斤
白豆,1.7,2.75,3.8,鲁辽,斤
油豆,3.5,4.0,4.5,辽,斤
毛豆,3.3,3.65,4.0,云,斤
花生,4.7,5.45,6.2,琼,斤
玉米,1.7,1.75,1.8,云,斤
玉米,1.7,1.75,1.8,云,斤
苦瓜,1.8,1.9,2.0,鲁,斤
丝瓜,1.6,1.95,2.3,豫冀鲁,斤
西葫芦,0.8,1.0,1.2,鲁,斤
贝贝南瓜,1.8,2.15,2.5,鲁,斤
金丝南瓜,1.7,1.95,2.2,冀鲁,斤
板栗南瓜,1.7,2.1,2.5,冀琼,斤
南北瓜,1.9,2.1,2.3,桂琼,斤
尖椒,1.0,1.6,2.2,辽鲁冀,斤
红尖椒,2.5,3.0,3.5,鲁皖,斤
美人椒,4.0,4.5,5.0,鲁云琼,斤
螺丝椒,2.0,2.75,3.5,鲁辽冀,斤
柿子椒,1.0,1.4,1.8,鲁冀辽,斤
线椒,2.5,3.5,4.5,鲁冀,斤
杭椒,2.5,2.75,3.0,鲁冀,斤
小米椒,8.0,8.5,9.0,云琼,斤
彩椒,3.0,3.5,4.0,鲁,斤
白萝卜,0.5,0.55,0.6,冀,斤
心里美,1.5,1.75,2.0,冀,斤
卞萝卜,1.0,1.1,1.2,冀,斤
青萝卜,1.0,1.2,1.4,冀鲁,斤
胡萝卜,0.8,0.85,0.9,鲁,斤
胡萝卜,0.9,1.05,1.2,鲁,斤
土豆,0.7,0.85,1.0,陕蒙,斤
土豆,0.8,1.03,1.25,鲁冀,斤
葱头,0.45,0.5,0.55,豫苏,斤
葱头,0.55,0.6,0.65,豫苏,斤
山药,3.0,3.25,3.5,豫鲁,斤
山药,2.5,3.0,3.5,冀,斤
山药,4.0,5.0,6.0,豫冀,斤
莲藕,4.0,4.5,5.0,津,斤
